scenario_id,scenario_name,npv_usd,cumulative_probability
mc_base,Monte Carlo Base,-8170319951.87042,0.0341
mc_base,Monte Carlo Base,-8167524826.698429,0.0342
mc_base,Monte Carlo Base,-8163198271.403055,0.0343
mc_base,Monte Carlo Base,-8159417011.597982,0.0344
mc_base,Monte Carlo Base,-8145751364.669092,0.0345
mc_base,Monte Carlo Base,-8132775024.165476,0.0346
mc_base,Monte Carlo Base,-8131959831.041429,0.0347
mc_base,Monte Carlo Base,-8122962060.248792,0.0348
mc_base,Monte Carlo Base,-8118454859.294129,0.0349
mc_base,Monte Carlo Base,-8112899283.225223,0.035
mc_base,Monte Carlo Base,-8106486048.250145,0.0351
mc_base,Monte Carlo Base,-8083113195.612296,0.0352
mc_base,Monte Carlo Base,-8072471032.933628,0.0353
mc_base,Monte Carlo Base,-8069424313.310907,0.0354
mc_base,Monte Carlo Base,-8053336396.258373,0.0355
mc_base,Monte Carlo Base,-8030601437.020256,0.0356
mc_base,Monte Carlo Base,-8028700735.16553,0.0357
mc_base,Monte Carlo Base,-8026549130.649058,0.0358
mc_base,Monte Carlo Base,-8023346558.525151,0.0359
mc_base,Monte Carlo Base,-8017200507.2907295,0.036
mc_base,Monte Carlo Base,-8015200864.197468,0.0361
mc_base,Monte Carlo Base,-8010863216.904457,0.0362
mc_base,Monte Carlo Base,-8010152448.250511,0.0363
mc_base,Monte Carlo Base,-7998573450.730406,0.0364
mc_base,Monte Carlo Base,-7979202777.988686,0.0365
mc_base,Monte Carlo Base,-7974352135.324618,0.0366
mc_base,Monte Carlo Base,-7966276844.669012,0.0367
mc_base,Monte Carlo Base,-7961319249.9564705,0.0368
mc_base,Monte Carlo Base,-7953171444.729261,0.0369
mc_base,Monte Carlo Base,-7950615763.76893,0.037
mc_base,Monte Carlo Base,-7948062438.711413,0.0371
mc_base,Monte Carlo Base,-7946310531.273442,0.0372
mc_base,Monte Carlo Base,-7933669221.138794,0.0373
mc_base,Monte Carlo Base,-7928288107.489466,0.0374
mc_base,Monte Carlo Base,-7926316531.429649,0.0375
mc_base,Monte Carlo Base,-7918382286.662638,0.0376
mc_base,Monte Carlo Base,-7917928328.203577,0.0377
mc_base,Monte Carlo Base,-7913181136.023298,0.0378
mc_base,Monte Carlo Base,-7899792017.228853,0.0379
mc_base,Monte Carlo Base,-7893489138.538653,0.038
mc_base,Monte Carlo Base,-7892660793.71222,0.0381
mc_base,Monte Carlo Base,-7889408086.7393875,0.0382
mc_base,Monte Carlo Base,-7885994331.697876,0.0383
mc_base,Monte Carlo Base,-7875423662.038264,0.0384
mc_base,Monte Carlo Base,-7869206531.611533,0.0385
mc_base,Monte Carlo Base,-7863655238.936676,0.0386
mc_base,Monte Carlo Base,-7862303058.582956,0.0387
mc_base,Monte Carlo Base,-7858416119.0399685,0.0388
mc_base,Monte Carlo Base,-7849565929.282774,0.0389
mc_base,Monte Carlo Base,-7847227240.817741,0.039
mc_base,Monte Carlo Base,-7843606507.942231,0.0391
mc_base,Monte Carlo Base,-7842180786.501712,0.0392
mc_base,Monte Carlo Base,-7841903193.064986,0.0393
mc_base,Monte Carlo Base,-7833407554.466089,0.0394
mc_base,Monte Carlo Base,-7829655262.499944,0.0395
mc_base,Monte Carlo Base,-7817559059.760812,0.0396
mc_base,Monte Carlo Base,-7816698694.502434,0.0397
mc_base,Monte Carlo Base,-7814597257.966907,0.0398
mc_base,Monte Carlo Base,-7812903341.49234,0.0399
mc_base,Monte Carlo Base,-7804825658.993935,0.04
mc_base,Monte Carlo Base,-7803620762.353501,0.0401
mc_base,Monte Carlo Base,-7796975291.999393,0.0402
mc_base,Monte Carlo Base,-7790451981.10591,0.0403
mc_base,Monte Carlo Base,-7788491646.079723,0.0404
mc_base,Monte Carlo Base,-7788135460.4942665,0.0405
mc_base,Monte Carlo Base,-7783856865.358406,0.0406
mc_base,Monte Carlo Base,-7767944411.12723,0.0407
mc_base,Monte Carlo Base,-7767547050.805751,0.0408
mc_base,Monte Carlo Base,-7763297709.177139,0.0409
mc_base,Monte Carlo Base,-7757439146.087608,0.041
mc_base,Monte Carlo Base,-7750454986.500321,0.0411
mc_base,Monte Carlo Base,-7749647886.14695,0.0412
mc_base,Monte Carlo Base,-7745754252.832074,0.0413
mc_base,Monte Carlo Base,-7745093994.144961,0.0414
mc_base,Monte Carlo Base,-7737918051.3014145,0.0415
mc_base,Monte Carlo Base,-7736619674.904798,0.0416
mc_base,Monte Carlo Base,-7733680003.860218,0.0417
mc_base,Monte Carlo Base,-7724454084.040238,0.0418
mc_base,Monte Carlo Base,-7718338331.019162,0.0419
mc_base,Monte Carlo Base,-7717474620.966042,0.042
