iteration,average_price_usd_per_lb,terminal_price_usd_per_lb,price_path_std_usd_per_lb,grade_factor,average_recovery,recovery_std,npv_usd,scenario_id,scenario_name,valuation_basis
176,4.12277,6.53665,1.07381,0.94304,0.83716,0.02529,-3305575580.95756,mc_base,Monte Carlo Base,total_project_expanded_operation
177,4.69524,4.93144,0.70095,0.95886,0.83854,0.01945,2242438522.46684,mc_base,Monte Carlo Base,total_project_expanded_operation
178,4.77799,5.53959,0.84386,0.90934,0.84243,0.01791,993781574.73177,mc_base,Monte Carlo Base,total_project_expanded_operation
179,4.34366,6.60296,0.88481,0.91615,0.83918,0.02527,-1729734881.95873,mc_base,Monte Carlo Base,total_project_expanded_operation
180,4.24537,5.93175,0.68876,0.87446,0.84208,0.02258,-2702825213.24413,mc_base,Monte Carlo Base,total_project_expanded_operation
181,4.80054,5.79888,1.23289,1.04552,0.85352,0.02745,3487673383.29774,mc_base,Monte Carlo Base,total_project_expanded_operation
182,4.61528,6.96929,1.25357,1.00248,0.84385,0.01772,467677895.70352,mc_base,Monte Carlo Base,total_project_expanded_operation
183,4.83506,4.83854,0.88095,0.90507,0.85072,0.02621,1567652484.29149,mc_base,Monte Carlo Base,total_project_expanded_operation
184,5.11796,5.52769,1.1243,1.00622,0.83625,0.02686,4928573400.66455,mc_base,Monte Carlo Base,total_project_expanded_operation
185,4.47177,6.42399,1.0855,1.03335,0.84562,0.02033,838031547.22046,mc_base,Monte Carlo Base,total_project_expanded_operation
186,4.97388,6.42044,1.20801,1.13822,0.84952,0.02487,6373762310.41723,mc_base,Monte Carlo Base,total_project_expanded_operation
187,4.40427,3.45751,0.72469,0.9164,0.85141,0.02636,-134737056.82459,mc_base,Monte Carlo Base,total_project_expanded_operation
188,3.8724,3.8856,0.65863,0.92933,0.84005,0.01433,-3914409031.29342,mc_base,Monte Carlo Base,total_project_expanded_operation
189,3.95258,4.48269,0.79569,0.99509,0.84281,0.02235,-1764610797.39826,mc_base,Monte Carlo Base,total_project_expanded_operation
190,5.22973,8.44496,1.28581,1.00943,0.84536,0.02362,4751428502.92071,mc_base,Monte Carlo Base,total_project_expanded_operation
191,3.6486,3.48918,0.83804,0.92971,0.84802,0.01946,-3013591412.81283,mc_base,Monte Carlo Base,total_project_expanded_operation
192,4.78895,2.97791,1.21364,1.07763,0.84104,0.02055,6481548519.0622,mc_base,Monte Carlo Base,total_project_expanded_operation
193,5.39411,4.13694,1.20167,1.06138,0.83925,0.01867,7175861405.63525,mc_base,Monte Carlo Base,total_project_expanded_operation
194,4.26665,4.87988,0.6136,0.85132,0.84961,0.02203,-1999690183.27448,mc_base,Monte Carlo Base,total_project_expanded_operation
195,3.98217,4.07039,0.82257,1.1264,0.84145,0.02325,624341160.29281,mc_base,Monte Carlo Base,total_project_expanded_operation
196,4.70871,4.36774,1.41839,0.96709,0.84504,0.02595,-77541261.87471,mc_base,Monte Carlo Base,total_project_expanded_operation
197,4.4604,3.09527,0.93104,1.05082,0.84623,0.01978,2901675931.44339,mc_base,Monte Carlo Base,total_project_expanded_operation
198,4.89442,6.0581,1.28293,0.98522,0.84604,0.0211,2167364520.90683,mc_base,Monte Carlo Base,total_project_expanded_operation
199,4.353,4.75586,1.03525,0.97833,0.8385,0.02526,1533963459.63137,mc_base,Monte Carlo Base,total_project_expanded_operation
200,4.34042,4.61034,1.12288,0.96244,0.84808,0.03056,-703395355.4535,mc_base,Monte Carlo Base,total_project_expanded_operation
201,4.3594,4.03614,0.67891,0.86521,0.84782,0.02127,-2309822498.34713,mc_base,Monte Carlo Base,total_project_expanded_operation
202,4.61694,4.67242,0.59155,1.12255,0.83881,0.0239,6304434532.88928,mc_base,Monte Carlo Base,total_project_expanded_operation
203,4.53896,4.6948,0.79956,1.03535,0.85192,0.02028,2652799553.04544,mc_base,Monte Carlo Base,total_project_expanded_operation
204,4.18029,4.51356,0.64896,0.86816,0.85459,0.0244,-2886110708.68449,mc_base,Monte Carlo Base,total_project_expanded_operation
205,3.99421,4.34729,0.64613,1.10158,0.85218,0.02223,1502822042.60522,mc_base,Monte Carlo Base,total_project_expanded_operation
